,subject,passive,target,tone,frequency,dB,sub_num,passive_order,accuracy
0,2,False,130.0,130,129.87012987012986,-3.079074872217519,2,1,low
1,2,False,200.0,130,129.87012987012986,0.8271087484885887,2,1,low
2,2,False,280.0,130,129.87012987012986,2.23202616277993,2,1,low
3,2,True,,130,129.87012987012986,-0.032626864845897,2,1,low
4,3,False,130.0,130,129.87012987012986,-0.9478832248624164,3,2,high
5,3,False,200.0,130,129.87012987012986,0.8785521397475277,3,2,high
6,3,False,280.0,130,129.87012987012986,-1.349290479478342,3,2,high
7,3,True,,130,129.87012987012986,-0.5203735371285468,3,2,high
8,4,False,130.0,130,129.87012987012986,-2.7086874050483543,4,1,low
9,4,False,200.0,130,129.87012987012986,3.5466883076374267,4,1,low
10,4,False,280.0,130,129.87012987012986,-0.7911569271488448,4,1,low
11,4,True,,130,129.87012987012986,1.3537349797145124,4,1,low
12,6,False,130.0,130,129.87012987012986,0.1826061007967221,6,1,high
13,6,False,200.0,130,129.87012987012986,4.495946241260916,6,1,high
14,6,False,280.0,130,129.87012987012986,2.4470176253394587,6,1,high
15,6,True,,130,129.87012987012986,0.6334456020961337,6,1,high
16,7,False,130.0,130,129.87012987012986,1.6071282429611091,7,2,low
17,7,False,200.0,130,129.87012987012986,-0.6970181608970439,7,2,low
18,7,False,280.0,130,129.87012987012986,0.2802205997022287,7,2,low
19,7,True,,130,129.87012987012986,2.483881809888475,7,2,low
20,8,False,130.0,130,129.87012987012986,-0.8502869834100302,8,1,high
21,8,False,200.0,130,129.87012987012986,4.738584879229402,8,1,high
22,8,False,280.0,130,129.87012987012986,-1.3677174303123794,8,1,high
23,8,True,,130,129.87012987012986,7.126678905748395,8,1,high
24,9,False,130.0,130,129.87012987012986,1.9950780105393755,9,1,high
25,9,False,200.0,130,129.87012987012986,3.174995093680554,9,1,high
26,9,False,280.0,130,129.87012987012986,2.166767738224381,9,1,high
27,9,True,,130,129.87012987012986,0.5741765206161777,9,1,high
28,10,False,130.0,130,129.87012987012986,0.514139203524503,10,2,high
29,10,False,200.0,130,129.87012987012986,0.2346999413339511,10,2,high
30,10,False,280.0,130,129.87012987012986,-0.7914415170289493,10,2,high
31,10,True,,130,129.87012987012986,6.840813692311113,10,2,high
32,11,False,130.0,130,129.87012987012986,-1.158332350227096,11,1,high
33,11,False,200.0,130,129.87012987012986,0.425819227330993,11,1,high
34,11,False,280.0,130,129.87012987012986,-2.371220746183421,11,1,high
35,11,True,,130,129.87012987012986,1.1772511572553754,11,1,high
36,12,False,130.0,130,129.87012987012986,8.754213128431642,12,2,low
37,12,False,200.0,130,129.87012987012986,8.356350117222918,12,2,low
38,12,False,280.0,130,129.87012987012986,6.733356881410991,12,2,low
39,12,True,,130,129.87012987012986,10.373092819707674,12,2,low
40,13,False,130.0,130,129.87012987012986,-0.127301715113508,13,1,high
41,13,False,200.0,130,129.87012987012986,-3.6873183130736304,13,1,high
42,13,False,280.0,130,129.87012987012986,-1.1995288241551498,13,1,high
43,13,True,,130,129.87012987012986,6.146660515943191,13,1,high
44,14,False,130.0,130,129.87012987012986,-0.2405814758941259,14,2,high
45,14,False,200.0,130,129.87012987012986,1.40681685491063,14,2,high
46,14,False,280.0,130,129.87012987012986,2.659013058130829,14,2,high
47,14,True,,130,129.87012987012986,-2.400491982766573,14,2,high
48,15,False,130.0,130,129.87012987012986,3.4565121278270707,15,1,high
49,15,False,200.0,130,129.87012987012986,2.8361517353392918,15,1,high
50,15,False,280.0,130,129.87012987012986,-0.9171529206197814,15,1,high
51,15,True,,130,129.87012987012986,3.961552431175925,15,1,high
52,16,False,130.0,130,129.87012987012986,0.9130586926368316,16,2,low
53,16,False,200.0,130,129.87012987012986,3.460886476690279,16,2,low
54,16,False,280.0,130,129.87012987012986,3.1501513697272223,16,2,low
55,16,True,,130,129.87012987012986,4.154320000719512,16,2,low
56,18,False,130.0,130,129.87012987012986,5.4008040807346935,18,2,high
57,18,False,200.0,130,129.87012987012986,1.262243154063272,18,2,high
58,18,False,280.0,130,129.87012987012986,2.3337569437858763,18,2,high
59,18,True,,130,129.87012987012986,4.485844964642828,18,2,high
60,19,False,130.0,130,129.87012987012986,7.2171835993620785,19,1,high
