,subject,passive,target,tone,frequency,dB,sub_num,passive_order,group
0,15,False,200.0,130,129.87012987012986,2.8361517353392918,15,1,decliner
1,15,False,280.0,130,129.87012987012986,-0.9171529206197814,15,1,decliner
2,12,True,,130,129.87012987012986,10.373092819707674,12,1,decliner
3,15,False,130.0,130,129.87012987012986,3.4565121278270707,15,1,decliner
4,16,False,200.0,130,129.87012987012986,3.460886476690279,16,2,decliner
5,15,True,,130,129.87012987012986,3.961552431175925,15,1,decliner
6,16,False,130.0,130,129.87012987012986,0.9130586926368316,16,2,decliner
7,10,False,280.0,130,129.87012987012986,-0.7914415170289493,10,2,decliner
8,10,True,,130,129.87012987012986,6.840813692311113,10,2,decliner
9,10,False,130.0,130,129.87012987012986,0.514139203524503,10,2,decliner
10,10,False,200.0,130,129.87012987012986,0.2346999413339511,10,2,decliner
11,12,False,280.0,130,129.87012987012986,6.733356881410991,12,1,decliner
12,12,False,130.0,130,129.87012987012986,8.754213128431642,12,1,decliner
13,12,False,200.0,130,129.87012987012986,8.356350117222918,12,1,decliner
14,21,True,,130,129.87012987012986,10.397616530039638,21,1,decliner
15,30,False,130.0,130,129.87012987012986,0.2898088829022546,30,2,decliner
16,21,False,200.0,130,129.87012987012986,5.480346747778016,21,1,decliner
17,21,False,280.0,130,129.87012987012986,6.47831501427172,21,1,decliner
18,30,True,,130,129.87012987012986,-1.6542075012277464,30,2,decliner
19,30,False,200.0,130,129.87012987012986,2.815495240568943,30,2,decliner
20,30,False,280.0,130,129.87012987012986,1.101111041499513,30,2,decliner
21,20,False,130.0,130,129.87012987012986,7.40584214358374,20,2,decliner
22,20,False,200.0,130,129.87012987012986,1.8143809453619144,20,2,decliner
23,16,False,280.0,130,129.87012987012986,3.1501513697272223,16,2,decliner
24,16,True,,130,129.87012987012986,4.154320000719512,16,2,decliner
25,21,False,130.0,130,129.87012987012986,4.017171526354396,21,1,decliner
26,20,False,280.0,130,129.87012987012986,3.375451576973597,20,2,decliner
27,20,True,,130,129.87012987012986,8.40210678059344,20,2,decliner
28,7,False,280.0,130,129.87012987012986,0.2802205997022287,7,2,decliner
29,7,True,,130,129.87012987012986,2.483881809888475,7,2,decliner
30,7,False,130.0,130,129.87012987012986,1.6071282429611091,7,2,decliner
31,7,False,200.0,130,129.87012987012986,-0.6970181608970439,7,2,decliner
32,2,False,280.0,130,129.87012987012986,2.23202616277993,2,1,decliner
33,2,True,,130,129.87012987012986,-0.032626864845897,2,1,decliner
34,2,False,130.0,130,129.87012987012986,-3.079074872217519,2,1,decliner
35,2,False,200.0,130,129.87012987012986,0.8271087484885887,2,1,decliner
36,18,False,130.0,130,129.87012987012986,5.4008040807346935,18,2,expert
37,6,False,130.0,130,129.87012987012986,0.1826061007967221,6,1,expert
38,18,False,200.0,130,129.87012987012986,1.262243154063272,18,2,expert
39,6,True,,130,129.87012987012986,0.6334456020961337,6,1,expert
40,6,False,200.0,130,129.87012987012986,4.495946241260916,6,1,expert
41,6,False,280.0,130,129.87012987012986,2.4470176253394587,6,1,expert
42,28,False,200.0,130,129.87012987012986,-1.745435905935148,28,2,expert
43,28,False,130.0,130,129.87012987012986,-4.531687866610269,28,2,expert
44,3,False,130.0,130,129.87012987012986,-0.9478832248624164,3,2,expert
45,28,True,,130,129.87012987012986,2.3916536861783504,28,2,expert
46,28,False,280.0,130,129.87012987012986,0.2660401930705933,28,2,expert
47,18,False,280.0,130,129.87012987012986,2.3337569437858763,18,2,expert
48,18,True,,130,129.87012987012986,4.485844964642828,18,2,expert
49,3,False,280.0,130,129.87012987012986,-1.349290479478342,3,2,expert
50,3,False,200.0,130,129.87012987012986,0.8785521397475277,3,2,expert
51,3,True,,130,129.87012987012986,-0.5203735371285468,3,2,expert
52,8,False,200.0,130,129.87012987012986,4.738584879229402,8,1,expert
53,8,False,280.0,130,129.87012987012986,-1.3677174303123794,8,1,expert
54,9,False,200.0,130,129.87012987012986,3.174995093680554,9,1,expert
55,8,False,130.0,130,129.87012987012986,-0.8502869834100302,8,1,expert
56,9,False,130.0,130,129.87012987012986,1.9950780105393755,9,1,expert
57,11,False,280.0,130,129.87012987012986,-2.371220746183421,11,2,expert
58,11,True,,130,129.87012987012986,1.1772511572553754,11,2,expert
59,11,False,130.0,130,129.87012987012986,-1.158332350227096,11,2,expert
60,8,True,,130,129.87012987012986,7.126678905748395,8,1,expert
61,11,False,200.0,130,129.87012987012986,0.425819227330993,11,2,expert
62,13,True,,130,129.87012987012986,6.146660515943191,13,1,expert
63,14,False,130.0,130,129.87012987012986,-0.2405814758941259,14,2,expert
64,13,False,200.0,130,129.87012987012986,-3.6873183130736304,13,1,expert
65,13,False,280.0,130,129.87012987012986,-1.1995288241551498,13,1,expert
66,14,True,,130,129.87012987012986,-2.400491982766573,14,2,expert
67,14,False,200.0,130,129.87012987012986,1.40681685491063,14,2,expert
68,14,False,280.0,130,129.87012987012986,2.659013058130829,14,2,expert
69,9,True,,130,129.87012987012986,0.5741765206161777,9,1,expert
70,9,False,280.0,130,129.87012987012986,2.166767738224381,9,1,expert
71,13,False,130.0,130,129.87012987012986,-0.127301715113508,13,1,expert
72,26,False,200.0,130,129.87012987012986,2.87590047897444,26,2,improver
73,26,False,130.0,130,129.87012987012986,7.600057790666415,26,2,improver
74,25,False,200.0,130,129.87012987012986,1.151582868824247,25,1,improver
75,25,False,130.0,130,129.87012987012986,-0.2782426361880686,25,1,improver
76,25,True,,130,129.87012987012986,1.549347798279127,25,1,improver
77,25,False,280.0,130,129.87012987012986,2.851686850873667,25,1,improver
78,29,False,280.0,130,129.87012987012986,0.7864180867370175,29,1,improver
79,29,False,130.0,130,129.87012987012986,5.788501230912374,29,1,improver
80,29,False,200.0,130,129.87012987012986,0.6821529992555633,29,1,improver
81,26,True,,130,129.87012987012986,8.91024624206684,26,2,improver
82,26,False,280.0,130,129.87012987012986,7.799612930367504,26,2,improver
83,29,True,,130,129.87012987012986,2.931962783149149,29,1,improver
84,4,False,200.0,130,129.87012987012986,3.5466883076374267,4,1,improver
85,4,False,280.0,130,129.87012987012986,-0.7911569271488448,4,1,improver
86,22,False,200.0,130,129.87012987012986,2.716870597479004,22,2,improver
87,4,False,130.0,130,129.87012987012986,-2.7086874050483543,4,1,improver
88,22,False,130.0,130,129.87012987012986,-1.4036158401715193,22,2,improver
89,19,False,280.0,130,129.87012987012986,1.3063468877148252,19,1,improver
90,19,False,130.0,130,129.87012987012986,7.2171835993620785,19,1,improver
91,19,False,200.0,130,129.87012987012986,0.8810956918966518,19,1,improver
92,4,True,,130,129.87012987012986,1.3537349797145124,4,1,improver
93,19,True,,130,129.87012987012986,1.1851540156790028,19,1,improver
94,24,False,200.0,130,129.87012987012986,3.660342746116258,24,2,improver
95,23,True,,130,129.87012987012986,5.942823311796554,23,1,improver
96,24,False,130.0,130,129.87012987012986,2.217014385085448,24,2,improver
97,24,True,,130,129.87012987012986,9.327508274072162,24,2,improver
98,24,False,280.0,130,129.87012987012986,1.3733916174827958,24,2,improver
99,23,False,130.0,130,129.87012987012986,1.5274362301926296,23,1,improver
100,22,False,280.0,130,129.87012987012986,2.232746534848753,22,2,improver
101,22,True,,130,129.87012987012986,5.885778272134496,22,2,improver
102,23,False,280.0,130,129.87012987012986,0.8369521029362865,23,1,improver
103,23,False,200.0,130,129.87012987012986,3.355248328171512,23,1,improver
104,15,False,200.0,200,199.80019980019975,7.343804612056893,15,1,decliner
105,15,False,280.0,200,199.80019980019975,6.340145680791172,15,1,decliner
106,12,True,,200,199.80019980019975,14.763848589290756,12,1,decliner
